ticker,close,pct_change,date
NVDA,217.52,-2.88,2026-08-11
AMD,474.14,-1.91,2026-08-11
INTC,97.785,-3.80,2026-08-11
QCOM,162.66,0.30,2026-08-11
AVGO,416.22,-2.70,2026-08-11
TSM,422.56,0.60,2026-08-11
MU,868.575,-1.02,2026-08-11
AMAT,525.485,-2.53,2026-08-11
LRCX,311.41,0.02,2026-08-11
ASML,1799.90,3.38,2026-08-11
GOOGL,343.70,-2.99,2026-08-11
MSFT,503.775,0.76,2026-08-11
META,599.21,1.20,2026-08-11
AAPL,304.775,-2.65,2026-08-11
PLTR,175.035,1.76,2026-08-11
SNOW,334.27,-0.13,2026-08-11
BABA,127.945,-0.36,2026-08-11
TSLA,332.80,1.28,2026-08-11
CCJ,98.73,1.46,2026-08-11
CEG,278.36,2.93,2026-08-11
OKLO,47.01,5.66,2026-08-11
