ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
NVDA.US,202608031600,206.68,206.635,206.76,206.53,1627091,336496192,5.94,-0.02
AMD.US,202608031600,484.405,484.8,484.8,484.405,9530,4616147,-0.12,0.08
QCOM.US,202608031600,151.59,151.57,151.67,151.44,2789327,426036368,-0.02,-0.01
TSM.US,202608031600,406.725,406.57,406.725,406.57,5532,2245055,0.81,-0.04
AVGO.US,202608031600,392.28,392.46,392.478,392.28,11218,4432990,1.19,0.05
MU.US,202608031600,829.23,829.435,829.645,829.079,7100,5860434,-5.17,0.02
AMAT.US,202608031600,517.973,518.105,518.14,517.973,4921,2546641,3.26,0.03
LRCX.US,202608031600,294.57,294.73,294.75,294.55,9264,2718797,-1.0,0.05
ASML.US,202608031600,1643.2,1643.62,1643.63,1643.06,1106,1818089,-0.47,0.03
INTC.US,202608031600,91.03,91.075,91.09,91.03,30279,2749310,-0.06,0.05
GOOGL.US,202608031600,373.705,373.56,373.8,373.2,626295,234042312,11.96,-0.04
MSFT.US,202608031600,487.51,487.66,488.21,487.04,764778,373061808,8.1,0.03
META.US,202608031600,590.54,590.53,590.98,589.88,287092,169620709,9.55,0.0
AAPL.US,202608031600,302.955,303.27,303.48,302.9,1640334,496194736,-9.05,0.1
PLTR.US,202608031600,125.77,125.79,125.81,125.76,41522,5225341,2.89,0.02
SNOW.US,202608031600,308.39,308.39,308.39,308.39,4259,1316093,5.15,0.0
BABA.US,202608031600,127.335,127.28,127.36,127.25,233266,29753762,4.11,-0.04
TSLA.US,202608031600,321.99,322.0,322.02,321.97,9004,2899147,4.26,0.0
CEG.US,202608031600,273.685,273.71,273.825,273.59,33065,9049353,3.85,0.01
CCJ.US,202608031600,89.81,89.725,89.9,89.69,129263,11576208,3.87,-0.1
OKLO.US,202608031600,41.335,41.22,41.34,41.2,1367844,56522081,0.32,-0.28
