ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
NVDA.US,202606221600,208.31,208.33,208.38,208.31,92919,19395011,1.8,0.01
AMD.US,202606221600,551.27,551.19,551.27,551.19,5309,2914491,7.55,-0.01
QCOM.US,202606221600,221.33,221.96,222.02,221.31,484351,107437907,4.22,0.28
TSM.US,202606221600,468.06,467.98,468.23,467.98,22558,10566440,8.29,-0.02
AVGO.US,202606221600,392.16,392.13,392.18,392.1,14639,5735541,-0.2,-0.01
MU.US,202606221600,1205.69,1206.73,1206.76,1205.69,74312,89885230,15.68,0.09
AMAT.US,202606221600,639.92,639.9,639.93,639.77,13107,8417054,7.92,0.0
LRCX.US,202606221600,409.295,409.38,409.4,409.295,17979,7397013,9.41,0.02
ASML.US,202606221600,1931.23,1931.42,1931.42,1931.23,949,1836458,3.4,0.01
INTC.US,202606221600,140.9,140.9,140.91,140.88,24413,3422899,16.35,0.0
GOOGL.US,202606221600,349.69,349.71,349.77,349.35,794747,277902048,-3.87,0.01
MSFT.US,202606221600,367.255,367.26,367.31,367.25,14539,5315966,-3.07,0.0
META.US,202606221600,563.74,563.83,563.87,563.74,3804,2145354,-0.66,0.02
AAPL.US,202606221600,296.94,297.08,297.14,296.91,119239,35331136,0.38,0.05
PLTR.US,202606221600,119.38,119.385,119.39,119.38,20800,2468324,-8.61,0.0
SNOW.US,202606221600,225.885,226.535,226.58,225.885,122711,27969545,-3.4,0.29
BABA.US,202606221600,104.898,104.93,104.935,104.83,230037,24126928,-2.34,0.03
TSLA.US,202606221600,405.18,405.04,405.385,404.72,492594,199317529,2.18,-0.03
CEG.US,202606221600,275.39,275.53,275.65,275.35,642949,176993187,3.13,0.05
CCJ.US,202606221600,107.09,107.07,107.15,107.05,382520,40993069,0.54,-0.02
OKLO.US,202606221600,58.29,58.4,58.48,58.28,1663133,97079858,-4.53,0.19
