ticker,close,pct_change,category
NVDA,195.085,-0.98,芯片
AMD,485.33,6.76,芯片
QCOM,151.65,-6.89,芯片
TSM,403.27,2.79,芯片
AVGO,387.77,1.80,芯片
MU,874.19,6.54,芯片
AMAT,502.21,5.40,芯片
LRCX,297.64,10.40,芯片
ASML,1652.59,4.40,芯片
INTC,91.23,5.71,芯片
GOOGL,333.67,-0.01,应用
MSFT,451.49,14.78,应用
META,539.06,-9.16,应用
AAPL,333.50,-1.93,应用
PLTR,122.40,-0.91,应用
SNOW,297.93,5.31,应用
BABA,116.17,0.85,应用
TSLA,308.87,0.47,应用
CEG,263.56,2.17,能源
CCJ,88.23,4.33,能源
OKLO,41.115,3.88,能源
