ts_code,time,open,close,high,low,vol,amount,pct_change_1m
MU.US,202607311600,825.426,826.96,827.59,825.426,72094,59483361,0.19
AMAT.US,202607311600,508.52,508.575,508.76,508.43,13023,6615347,0.01
LRCX.US,202607311600,294.03,294.0,294.11,293.99,19648,5766002,-0.01
