ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
NVDA.US,202606291600,195.03,195.13,195.14,195.02,132306,25855456,-0.31,0.05
AMD.US,202606291600,539.44,539.42,539.44,539.39,4964,2642862,1.29,0.0
QCOM.US,202606291600,187.99,188.055,188.055,187.99,6946,1304937,-8.22,0.03
TSM.US,202606291600,455.28,455.575,455.58,455.22,24254,10935269,4.73,0.06
AVGO.US,202606291600,372.41,372.375,372.41,372.345,7083,2636547,-1.72,-0.01
MU.US,202606291600,1142.5,1142.57,1142.65,1142.323,5882,6759304,-5.85,0.01
AMAT.US,202606291600,693.545,693.79,693.81,693.445,28175,19586935,3.86,0.04
LRCX.US,202606291600,410.53,410.915,410.93,410.52,26298,10814725,2.26,0.09
ASML.US,202606291600,1883.02,1883.03,1883.175,1882.59,3290,6189381,2.27,0.0
INTC.US,202606291600,131.715,131.73,131.73,131.71,20570,2712414,-0.86,0.01
GOOGL.US,202606291600,353.55,353.65,353.66,353.53,38895,13778020,2.89,0.02
MSFT.US,202606291600,368.76,368.85,368.86,368.7,20022,7362805,4.54,0.02
META.US,202606291600,562.76,562.69,562.76,562.62,11304,6363881,3.65,-0.01
AAPL.US,202606291600,281.63,281.79,281.81,281.63,79864,22496781,2.41,0.05
PLTR.US,202606291600,115.785,115.828,115.83,115.785,21396,2481040,7.98,0.04
SNOW.US,202606291600,250.4,251.65,251.68,250.29,1061351,267570365,1.08,0.5
BABA.US,202606291600,95.39,95.505,95.53,95.38,374032,35719330,0.46,0.12
TSLA.US,202606291600,411.945,411.95,412.25,411.82,427796,176184721,9.82,0.0
CEG.US,202606291600,259.17,259.32,259.53,259.15,666809,173153168,-3.49,0.06
CCJ.US,202606291600,103.53,103.47,103.59,103.38,587702,60899099,-0.98,-0.06
OKLO.US,202606291600,52.855,52.76,52.92,52.76,163110,8590862,5.52,-0.19
