ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
TSM.US,202607211600,425.05,424.51,425.32,424.38,298175,126398856,6.56,-0.13
AVGO.US,202607211600,386.48,386.13,386.485,386.12,409940,158397671,4.13,-0.09
MU.US,202607211600,971.55,971.31,971.59,971.305,9918,9589893,14.41,-0.02
