ts_code,time,open,close,high,low,vol,amount,pct_change_1m
ASML.US,202607311600,1630.01,1630.215,1630.323,1630.0,2032,3304248,0.01
GOOGL.US,202607311600,357.155,356.33,357.17,355.93,997077,356778512,-0.23
MSFT.US,202607311600,465.85,465.1,465.9,464.53,1165318,544124384,-0.16
