ts_code,time,open,close,high,low,vol,amount,pct_change_1m,change_pct
NVDA.US,202606051600,205.69,205.73,205.74,205.56,346372,71115311,0.02,0.02
AMD.US,202606051600,465.7,466.0,466.0,465.51,30852,14389683,0.06,0.06
INTC.US,202606051600,98.455,98.75,98.76,98.455,105875,10318118,0.3,0.3
QCOM.US,202606051600,216.58,216.79,216.79,216.56,19985,4334112,0.1,0.1
AVGO.US,202606051600,387.525,387.45,387.525,387.4,36532,14127226,-0.02,-0.02
TSM.US,202606051600,415.57,415.33,415.82,415.3,29584,12402386,-0.06,-0.06
MU.US,202606051600,872.955,864.01,873.49,864.01,947739,819560192,-1.02,-1.02
AMAT.US,202606051600,454.105,454.22,454.35,454.105,2675,1225659,0.03,0.03
LRCX.US,202606051600,303.38,303.13,303.51,302.745,432467,129869437,-0.08,-0.08
ASML.US,202606051600,1643.505,1643.74,1643.93,1642.82,15158,24876479,0.01,0.01
GOOGL.US,202606051600,369.12,368.99,369.12,368.95,85571,31583748,-0.04,-0.04
MSFT.US,202606051600,417.15,417.035,417.17,417.03,31027,12904125,-0.03,-0.03
META.US,202606051600,593.05,593.04,593.05,592.94,9760,5761996,0.0,-0.0
AAPL.US,202606051600,307.88,307.58,307.95,307.53,711079,217597353,-0.1,-0.1
PLTR.US,202606051600,135.78,135.56,135.79,135.54,615195,83300356,-0.17,-0.16
SNOW.US,202606051600,238.16,238.26,238.49,237.81,659798,156274226,0.04,0.04
BABA.US,202606051600,120.93,120.91,120.93,120.91,8873,1086423,-0.02,-0.02
TSLA.US,202606051600,391.53,391.56,391.6,391.48,32402,12704584,0.01,0.01
CCJ.US,202606051600,103.52,103.44,103.52,103.29,393467,40370241,-0.08,-0.08
CEG.US,202606051600,254.96,254.94,254.99,254.94,1107,281440,-0.01,-0.01
OKLO.US,202606051600,58.221,58.09,58.23,58.085,2181262,127837518,-0.24,-0.23
