ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
SNOW.US,202607071600,262.75,262.74,262.91,262.37,897725,235897234,1.0,0.0
BABA.US,202607071600,98.02,98.03,98.03,98.0,15803,1548951,1.97,0.02
TSLA.US,202607071600,403.07,403.05,403.19,402.98,25085,10136730,2.44,0.0
