ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
TSM.US,202607291600,373.85,373.78,373.86,373.78,3527,1322569,-6.34,-0.02
AVGO.US,202607291600,370.91,370.87,370.95,370.87,10402,3837337,-3.22,-0.01
MU.US,202607291600,743.255,743.01,743.27,743.0,10936,8121102,-17.46,-0.03
AMAT.US,202607291600,437.575,437.33,437.575,437.33,3967,1731796,-15.39,-0.06
LRCX.US,202607291600,251.224,251.16,251.25,251.117,14874,3743166,-13.87,-0.03
ASML.US,202607291600,1553.02,1552.535,1553.02,1552.48,815,1262649,-6.08,-0.03
INTC.US,202607291600,82.115,82.1,82.115,82.1,29514,2433025,-10.44,-0.02
GOOGL.US,202607291600,336.04,336.03,336.06,335.97,8078,2714001,2.9,0.0
MSFT.US,202607291600,389.685,392.4,392.4,389.36,1393439,541221856,0.85,0.7
META.US,202607291600,584.249,587.0,588.08,583.75,471957,275502528,-1.16,0.47
AAPL.US,202607291600,337.555,338.07,338.2,337.35,1493822,503429664,0.34,0.16
PLTR.US,202607291600,123.09,123.1,123.1,123.09,924,114572,-6.41,0.01
SNOW.US,202607291600,283.625,283.45,283.625,283.45,17267,4929597,3.86,-0.06
BABA.US,202607291600,114.95,114.925,114.96,114.925,10281,1178522,-0.07,-0.01
TSLA.US,202607291600,298.3,298.19,298.31,298.16,5379,1607183,-3.57,-0.03
CEG.US,202607291600,257.8,257.95,258.24,257.58,851597,219613290,-0.72,0.06
CCJ.US,202607291600,84.45,84.57,84.58,84.35,305990,25888334,-2.75,0.14
OKLO.US,202607291600,36.845,36.82,36.9,36.82,226525,8407710,-6.97,-0.07
NVDA.US,202607291600,190.31,190.27,190.31,190.25,49148,9292449,-3.18,-0.02
AMD.US,202607291600,429.86,429.79,429.865,429.79,7507,3220960,-13.16,-0.02
QCOM.US,202607291600,156.01,156.05,156.05,156.01,2230,345027,-4.19,0.03
