ts_code,time,open,close,high,low,vol,amount,pct_change_1m
META.US,202606181600,578.175,577.3,578.27,577.02,317153,183565049,-0.15
AAPL.US,202606181600,298.505,297.865,298.51,297.85,1028678,306684944,-0.21
PLTR.US,202606181600,128.675,128.65,128.69,128.65,40373,5202491,-0.02
