ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
NVDA.US,202606031600,214.84,214.795,214.87,214.765,353325,75809079,-4.26,-0.02
AMD.US,202606031600,542.03,542.5,542.62,542.03,35783,19347225,6.35,0.09
QCOM.US,202606031600,249.95,250.01,250.35,249.93,2832409,704161760,9.18,0.02
TSM.US,202606031600,437.5,437.115,437.72,437.0,216216,94752135,0.34,-0.1
AVGO.US,202606031600,479.12,478.97,479.12,478.84,14070,6724468,4.13,-0.03
MU.US,202606031600,1080.765,1081.185,1081.37,1080.76,6513,7019343,4.41,0.04
AMAT.US,202606031600,500.6,500.77,500.77,500.595,2750,1378541,9.3,0.03
LRCX.US,202606031600,343.74,343.765,343.79,343.71,4943,1694049,8.4,0.01
ASML.US,202606031600,1726.17,1726.12,1728.41,1724.76,45087,77890309,5.99,0.0
INTC.US,202606031600,112.56,112.59,112.6,112.56,31197,3514223,2.98,0.03
GOOGL.US,202606031600,359.34,359.05,359.35,359.04,64688,23227624,-4.6,-0.08
MSFT.US,202606031600,427.42,427.32,427.42,427.29,21819,9315584,-7.21,-0.02
META.US,202606031600,623.14,623.02,623.14,623.02,5140,3208546,3.76,-0.02
AAPL.US,202606031600,310.24,310.39,310.39,309.89,1548339,478708336,1.33,0.05
PLTR.US,202606031600,142.25,142.25,142.25,142.24,6521,928309,-11.45,0.0
SNOW.US,202606031600,241.83,241.28,241.83,241.15,1340171,324422592,-7.61,-0.23
BABA.US,202606031600,127.5,127.295,127.53,127.24,200616,25571493,1.51,-0.16
TSLA.US,202606031600,423.577,423.57,423.61,423.472,67742,28692656,1.85,-0.01
CEG.US,202606031600,267.21,267.19,267.21,267.13,2905,776079,-2.0,-0.01
CCJ.US,202606031600,114.78,114.56,114.79,114.61,416460,47983424,-4.94,-0.22
OKLO.US,202606031600,65.34,65.335,65.34,65.33,10547,686315,-11.07,-0.01
