Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2026-07-14T04:00:00.000Z,107.9800033569,109.1900024414,103.5899963379,107.7600021362,91129000,0.0,0.0,INTC,英特尔,Intel Corporation,USD
2026-07-15T04:00:00.000Z,109.3000030518,109.6100006104,99.1999969482,102.9899978638,120625500,0.0,0.0,INTC,英特尔,Intel Corporation,USD
2026-07-16T04:00:00.000Z,101.1399993896,101.8799972534,95.4800033569,96.9800033569,107742900,0.0,0.0,INTC,英特尔,Intel Corporation,USD
2026-07-17T04:00:00.000Z,92.1399993896,98.0500030518,89.5899963379,95.0400009155,126401800,0.0,0.0,INTC,英特尔,Intel Corporation,USD
