ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
NVDA.US,202606301600,200.17,200.355,200.36,200.16,239183,48015550,4.06,0.09
AMD.US,202606301600,582.05,582.03,582.12,582.03,17930,10481334,11.59,0.0
QCOM.US,202606301600,184.75,184.79,184.84,184.48,6824291,1259075152,-2.43,0.02
TSM.US,202606301600,477.68,477.98,478.09,477.68,33000,15733931,10.55,0.06
AVGO.US,202606301600,377.79,377.795,377.85,377.75,13747,5202002,3.5,0.0
MU.US,202606301600,1157.94,1158.053,1158.2,1157.85,5456,6323412,2.27,0.0
AMAT.US,202606301600,723.71,724.46,724.46,723.63,22302,16142630,15.57,0.1
LRCX.US,202606301600,433.895,433.91,433.92,433.765,13344,5784394,14.46,0.0
ASML.US,202606301600,1990.45,1989.06,1991.56,1986.89,71930,143327916,10.83,-0.07
INTC.US,202606301600,139.8,139.78,139.81,139.75,29208,4083172,8.93,-0.01
GOOGL.US,202606301600,357.5,357.08,357.64,357.08,982205,351565056,5.84,-0.12
MSFT.US,202606301600,373.475,372.83,373.625,372.6,1464265,546863168,-0.04,-0.17
META.US,202606301600,564.16,563.045,564.29,562.82,602938,340652400,2.33,-0.2
AAPL.US,202606301600,289.355,289.12,289.53,288.96,1569202,454622144,1.88,-0.08
PLTR.US,202606301600,116.68,116.68,116.69,116.655,17629,2056816,3.32,0.0
SNOW.US,202606301600,253.995,254.5,254.39,253.935,689812,176025746,1.13,0.2
BABA.US,202606301600,95.97,95.98,95.98,95.97,3610,346324,1.23,0.01
TSLA.US,202606301600,421.01,420.58,421.17,420.44,492126,207248566,10.76,-0.1
CEG.US,202606301600,248.3,248.37,248.44,248.15,1080407,267669343,-5.93,0.02
CCJ.US,202606301600,101.795,101.86,101.89,101.75,543135,55445897,-1.56,0.06
OKLO.US,202606301600,52.44,52.33,52.45,52.305,878877,46577689,-0.82,-0.21
