ts_code,time,open,close,high,low,vol,amount,pct_change_1m
TSM.US,202607311600,404.17,404.218,404.28,404.17,14302,5807814,0.01
AVGO.US,202607311600,390.11,390.09,390.18,390.08,9298,3633553,0.01
MU.US,202607311600,825.426,826.96,827.59,825.426,72094,59483361,0.19
