open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
385.0,395.36,381.3,392.31,18276277,TSM.N,2026-07-28,台积电,Taiwan Semiconductor Manufacturing Company Limited,USD
388.08,391.25,372.72,374.67,21700216,TSM.N,2026-07-29,台积电,Taiwan Semiconductor Manufacturing Company Limited,USD
392.49,406.77,387.6,403.31,17474236,TSM.N,2026-07-30,台积电,Taiwan Semiconductor Manufacturing Company Limited,USD
419.5,420.35,398.8,404.25,11956081,TSM.N,2026-07-31,台积电,Taiwan Semiconductor Manufacturing Company Limited,USD
374.36,385.8,371.52,380.91,20328406,AVGO.O,2026-07-28,博通,Broadcom Inc.,USD
380.635,386.12,369.5101,370.32,21374407,AVGO.O,2026-07-29,博通,Broadcom Inc.,USD
380.35,388.68,377.54,387.84,23639844,AVGO.O,2026-07-30,博通,Broadcom Inc.,USD
394.83,399.92,379.71,389.28,20391003,AVGO.O,2026-07-31,博通,Broadcom Inc.,USD
839.61,848.36,789.09,820.53,61039321,MU.O,2026-07-28,美光科技,"Micron Technology, Inc.",USD
833.0,841.8,737.88,739.0,69845966,MU.O,2026-07-29,美光科技,"Micron Technology, Inc.",USD
793.135,882.5,789.0,874.66,63075299,MU.O,2026-07-30,美光科技,"Micron Technology, Inc.",USD
919.65,930.88,818.0,823.03,54538600,MU.O,2026-07-31,美光科技,"Micron Technology, Inc.",USD
