Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2026-07-14T04:00:00.000Z,567.2199707031,574.200012207,546.7700195312,548.1300048828,21201400,0.0,0.0,AMD,超威半导体,"Advanced Micro Devices, Inc.",USD
2026-07-15T04:00:00.000Z,556.0200195312,558.8900146484,509.5700073242,529.1400146484,27826200,0.0,0.0,AMD,超威半导体,"Advanced Micro Devices, Inc.",USD
2026-07-16T04:00:00.000Z,509.3299865723,518.7399902344,491.799987793,500.9400024414,27093700,0.0,0.0,AMD,超威半导体,"Advanced Micro Devices, Inc.",USD
2026-07-17T04:00:00.000Z,476.8800048828,505.8800048828,460.2099914551,495.7600097656,32069200,0.0,0.0,AMD,超威半导体,"Advanced Micro Devices, Inc.",USD
