ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
NVDA.US,202607061600,195.575,195.625,195.65,195.42,2173659,424722832,-0.99,0.03
AMD.US,202607061600,552.74,551.95,553.03,551.4,433613,238980846,2.05,-0.14
QCOM.US,202607061600,186.715,186.48,186.75,186.255,4595182,857258336,2.51,-0.13
TSM.US,202607061600,453.02,452.93,453.03,452.9,6354,2873926,1.96,-0.01
AVGO.US,202607061600,374.07,374.045,374.11,374.04,8570,3205721,1.27,-0.01
MU.US,202607061600,986.96,986.5,986.98,986.5,9639,9508415,-4.43,-0.05
AMAT.US,202607061600,594.17,594.005,594.175,593.96,11980,7130715,-8.74,-0.03
LRCX.US,202607061600,350.33,350.3,350.39,350.16,8280,2908375,-10.47,-0.01
ASML.US,202607061600,1825.78,1826.0,1826.0,1825.7,496,906064,-0.92,0.01
INTC.US,202607061600,122.188,122.165,122.2,122.155,48402,5906722,-3.82,-0.02
GOOGL.US,202607061600,366.615,366.49,366.67,366.3,614749,225732779,1.46,-0.03
MSFT.US,202607061600,386.795,386.88,386.95,386.64,561052,217134164,0.68,0.02
META.US,202607061600,601.04,600.27,601.12,600.19,309487,185993130,-2.06,-0.13
AAPL.US,202607061600,312.83,312.81,313.0,312.63,1028229,321964880,6.26,0.0
PLTR.US,202607061600,132.56,132.59,132.59,132.55,43659,5780522,5.46,0.02
SNOW.US,202607061600,262.64,262.09,262.76,261.88,685058,178987815,0.34,-0.22
BABA.US,202607061600,97.91,97.9,97.915,97.9,6026,588680,-0.09,-0.01
TSLA.US,202607061600,419.805,419.77,420.0,419.51,834735,350351248,-1.3,-0.01
CEG.US,202607061600,245.92,245.87,246.06,245.83,855916,210069359,2.77,-0.02
CCJ.US,202607061600,97.53,97.5,97.55,97.41,562974,54722605,0.99,-0.03
OKLO.US,202607061600,52.07,51.85,52.08,51.84,178729,9261721,-1.14,-0.42
