ts_code,time,open,close,high,low,vol,amount,pct_change_1m
CCJ.US,202607311600,86.095,86.38,86.415,86.09,117574,10154124,0.33
CEG.US,202607311600,263.37,262.75,263.37,262.62,563949,148089713,-0.24
OKLO.US,202607311600,38.92,38.83,38.97,38.83,2580518,100206562,-0.23
