ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
NVDA.US,202607171600,203.32,203.08,203.32,203.07,130035,26417128,-4.43,-0.12
AMD.US,202607171600,497.645,497.32,497.68,497.31,12845,6344379,-6.01,-0.07
QCOM.US,202607171600,172.06,171.78,172.11,171.6,4078531,703938864,-3.48,-0.19
TSM.US,202607171600,397.61,397.58,397.62,397.54,4484,1782153,-5.22,-0.01
AVGO.US,202607171600,371.79,371.605,371.81,371.58,15405,5725875,-5.75,-0.06
MU.US,202607171600,853.73,853.21,853.73,852.93,14358,12246474,-5.65,-0.06
AMAT.US,202607171600,530.15,530.0,530.28,530.0,10370,5499151,-8.53,-0.03
LRCX.US,202607171600,313.76,313.52,313.76,313.52,19374,6068431,-6.53,-0.07
ASML.US,202607171600,1747.975,1747.965,1748.28,1747.73,793,1386071,-3.71,0.0
INTC.US,202607171600,95.23,95.21,95.23,95.2,21001,1997800,-7.55,-0.02
GOOGL.US,202607171600,347.19,346.82,347.21,346.55,429021,149008535,-6.5,-0.11
MSFT.US,202607171600,394.4,393.82,394.43,393.73,520600,205191971,-0.46,-0.15
META.US,202607171600,646.08,646.01,646.74,645.54,322511,208685781,-5.18,-0.01
AAPL.US,202607171600,334.14,333.55,334.23,333.54,770677,257500850,1.85,-0.18
PLTR.US,202607171600,132.555,132.34,132.6,132.28,430998,57128366,-1.06,-0.16
SNOW.US,202607171600,268.91,268.9,269.17,268.63,1812765,486931568,-1.09,0.0
BABA.US,202607171600,115.03,115.02,115.03,115.02,1134,130532,-2.27,-0.01
TSLA.US,202607171600,381.405,380.84,381.405,380.68,513015,195422813,-3.45,-0.15
CEG.US,202607171600,252.41,252.39,252.47,252.33,376703,95738564,-2.22,-0.01
CCJ.US,202607171600,85.585,85.62,85.66,85.585,880230,75558772,-5.89,0.04
OKLO.US,202607171600,41.205,41.11,41.25,41.105,631941,25858161,-1.41,-0.23
