ticker,close,pct_change
NVDA,200.75,+1.16%
AMD,476.15,-6.69%
QCOM,147.61,-3.50%
TSM,404.25,-3.64%
AVGO,389.28,-1.41%
MU,823.03,-10.51%
AMAT,507.67,-4.52%
LRCX,293.02,-7.09%
ASML,1629.00,-3.23%
INTC,90.20,-6.74%
GOOGL,356.13,+4.49%
MSFT,464.72,+3.27%
META,556.71,+2.41%
AAPL,308.91,+1.35%
PLTR,123.06,+0.63%
SNOW,293.28,-2.08%
BABA,122.25,+1.78%
TSLA,311.21,+0.49%
CEG,262.75,-1.39%
CCJ,86.38,-4.69%
OKLO,38.83,-7.64%
