ticker,close,pct_change
NVDA.US,197.9,1.5
AMD.US,539.34,-0.03
QCOM.US,181.97,-3.58
TSM.US,444.38,-2.36
AVGO.US,369.66,-0.75
MU.US,1037.485,-9.41
AMAT.US,650.26,-6.39
LRCX.US,391.66,-4.68
ASML.US,1841.11,-2.23
INTC.US,127.03,-3.56
GOOGL.US,361.335,2.17
MSFT.US,384.06,4.2
META.US,613.295,9.01
AAPL.US,294.25,4.44
PLTR.US,125.69,8.63
SNOW.US,260.99,2.55
BABA.US,97.965,2.57
TSLA.US,425.66,3.36
CEG.US,236.38,-8.85
CCJ.US,97.39,-4.39
OKLO.US,52.45,-0.59
