Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2026-07-14T04:00:00.000Z,123.6100006104,135.7899932861,122.6399993896,133.7200012207,49963700,0.0,0.0,PLTR,Palantir,Palantir Technologies Inc.,USD
2026-07-15T04:00:00.000Z,134.3399963379,136.8800048828,132.8800048828,133.7599945068,26064500,0.0,0.0,PLTR,Palantir,Palantir Technologies Inc.,USD
2026-07-16T04:00:00.000Z,133.0800018311,136.2100067139,128.6799926758,134.4400024414,28951300,0.0,0.0,PLTR,Palantir,Palantir Technologies Inc.,USD
2026-07-17T04:00:00.000Z,131.7850036621,134.7700042725,129.0500030518,132.3800048828,31841300,0.0,0.0,PLTR,Palantir,Palantir Technologies Inc.,USD
