ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
AMAT.US,202606301600,723.71,724.46,724.46,723.63,22302,16142630,15.57,0.1
LRCX.US,202606301600,433.895,433.91,433.92,433.765,13344,5784394,14.46,0.0
ASML.US,202606301600,1990.45,1989.06,1991.56,1986.89,71930,143327916,10.83,-0.07
