ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
NVDA.US,202606011600,224.34,224.295,224.36,224.28,175049,39373002,4.69,-0.02
AMD.US,202606011600,509.53,509.67,509.67,509.53,3304,1683475,-1.63,0.03
INTC.US,202606011600,109.255,109.265,109.265,109.25,27678,3016620,-9.62,0.01
QCOM.US,202606011600,228.99,228.975,229.015,228.975,3744,858094,-5.88,-0.01
TSM.US,202606011600,435.97,436.12,436.15,435.97,6404,2799758,2.65,0.03
AVGO.US,202606011600,459.87,459.92,459.94,459.85,10995,5062326,7.82,0.01
MU.US,202606011600,1033.67,1035.43,1035.83,1033.67,344954,356982112,12.12,0.17
AMAT.US,202606011600,457.995,458.015,458.04,457.995,4637,2126407,1.85,0.0
LRCX.US,202606011600,317.0,317.215,317.245,316.995,34817,11031767,-0.25,0.07
ASML.US,202606011600,1627.75,1628.17,1628.21,1627.75,1143,1861643,1.39,0.03
GOOGL.US,202606011600,376.42,376.44,376.44,376.41,2420,911001,-3.51,0.01
MSFT.US,202606011600,460.94,460.98,461.0,460.94,8108,3737580,7.96,0.01
META.US,202606011600,600.6,600.6,600.65,600.59,1511,901204,-5.46,0
AAPL.US,202606011600,306.265,306.28,306.29,306.26,23635,7226745,-1.99,0
PLTR.US,202606011600,160.625,160.63,160.68,160.56,396214,63692987,12.06,0
SNOW.US,202606011600,281.13,280.16,281.14,279.96,1501869,418429232,9.63,-0.35
BABA.US,202606011600,125.49,125.49,125.49,125.49,187,23431,-0.53,0.0
TSLA.US,202606011600,415.97,415.955,416.0,415.93,9530,3959845,-5.91,0.0
CEG.US,202606011600,265.43,265.35,265.43,265.35,19310,5113226,-7.78,-0.03
CCJ.US,202606011600,112.725,112.59,112.75,112.54,287848,32447239,-0.1,-0.12
OKLO.US,202606011600,67.18,66.89,67.24,66.9,1701136,114220322,-1.76,-0.43
