ts_code,time,open,close,high,low,vol,amount,pct_change_1m
CEG.US,202607241600,274.2,274.35,274.425,274.165,798295,218880682,0.05
CCJ.US,202607241600,87.85,87.87,87.94,87.78,172689,15145226,0.02
OKLO.US,202607241600,40.3,40.27,40.31,40.22,223583,9062236,-0.07
