Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2026-07-28T04:00:00.000Z,164.8999938965,167.9199981689,162.1600036621,162.8800048828,16147500,0.0,0.0,QCOM,高通,Qualcomm Incorporated,USD
2026-07-29T04:00:00.000Z,162.5800018311,164.5599975586,155.0,155.6799926758,19240700,0.0,0.0,QCOM,高通,Qualcomm Incorporated,USD
2026-07-30T04:00:00.000Z,146.5500030518,154.1600036621,146.0,151.6000061035,24336800,0.0,0.0,QCOM,高通,Qualcomm Incorporated,USD
2026-07-31T04:00:00.000Z,152.9600067139,153.7299957275,146.1499938965,147.6100006104,13788600,0.0,0.0,QCOM,高通,Qualcomm Incorporated,USD
