Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2026-07-14T04:00:00.000Z,430.8699951172,431.0599975586,418.8599853516,420.3900146484,14279000,0.0,0.0,TSM,台积电,Taiwan Semiconductor Manufacturing Company Limited,USD
2026-07-15T04:00:00.000Z,425.75,428.8900146484,410.75,419.4800109863,17012300,0.0,0.0,TSM,台积电,Taiwan Semiconductor Manufacturing Company Limited,USD
2026-07-16T04:00:00.000Z,405.2900085449,415.950012207,403.5,409.7399902344,24891300,0.0,0.0,TSM,台积电,Taiwan Semiconductor Manufacturing Company Limited,USD
2026-07-17T04:00:00.000Z,392.1199951172,404.700012207,386.0199890137,398.3699951172,20945600,0.0,0.0,TSM,台积电,Taiwan Semiconductor Manufacturing Company Limited,USD
