ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
NVDA.US,202606241600,198.19,198.3,198.325,198.19,36485,7224820,-4.96,0.06
AMD.US,202606241600,518.305,519.36,520.12,518.305,597994,311123920,-5.85,0.2
INTC.US,202606241600,131.21,131.13,131.23,131.13,47625,6256391,-6.96,-0.06
QCOM.US,202606241600,196.085,197.41,197.47,196.05,5633123,1155926128,-11.04,0.68
AVGO.US,202606241600,381.16,381.315,381.32,381.16,10539,4016527,-2.76,0.04
TSM.US,202606241600,439.29,439.48,439.49,439.29,1723,756238,-6.03,0.04
MU.US,202606241600,1037.88,1048.5,1049.0,1037.855,748681,782756512,-13.45,1.02
AMAT.US,202606241600,586.45,586.64,586.64,586.44,14009,8207461,-8.36,0.03
LRCX.US,202606241600,372.73,374.8,375.0,372.73,413204,155387524,-8.48,0.56
ASML.US,202606241600,1757.8,1764.06,1764.63,1757.8,38138,67292242,-8.56,0.36
GOOGL.US,202606241600,344.98,345.04,345.05,344.97,20260,6970996,-1.33,0.02
MSFT.US,202606241600,365.07,365.11,365.12,365.07,24345,8786808,-0.61,0.01
META.US,202606241600,557.83,557.73,558.06,557.57,212561,118378955,-1.09,-0.02
AAPL.US,202606241600,293.02,293.06,293.09,293.015,86123,25151164,-1.33,0.01
PLTR.US,202606241600,113.46,113.49,113.49,113.46,11349,1289869,-5.03,0.03
SNOW.US,202606241600,225.66,225.95,225.935,225.51,596536,134529151,-0.28,0.13
BABA.US,202606241600,99.725,99.72,99.73,99.72,4379,438645,-5.0,-0.01
TSLA.US,202606241600,375.47,375.39,375.9,375.27,602981,226165308,-7.32,-0.02
CCJ.US,202606241600,106.48,106.64,106.68,106.48,408756,43609482,-2.07,0.15
CEG.US,202606241600,267.8,267.97,268.08,267.79,620174,165980648,-0.85,0.06
OKLO.US,202606241600,53.91,54.06,54.225,53.89,1782296,96836548,-5.47,0.32
