ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
AAPL.US,202607201600,326.695,326.57,326.81,326.57,128684,42014549,-2.01,-0.04
AMAT.US,202607201600,524.24,524.25,524.35,524.2,10188,5326709,-6.54,0.0
AMD.US,202607201600,503.65,503.71,503.85,503.63,9136,4619415,0.55,0.01
ASML.US,202607201600,1739.36,1739.955,1740.24,1739.315,1783,3104468,-2.52,0.03
AVGO.US,202607201600,377.865,377.885,377.94,377.84,8091,3056252,0.92,0.01
BABA.US,202607201600,120.45,120.46,120.46,120.41,32392,3899509,2.53,0.01
CCJ.US,202607201600,84.865,84.85,84.92,84.76,1099325,93167788,-0.9,-0.02
CEG.US,202607201559,252.85,253.59,253.67,252.8,53810,13632238,0.48,0.3
GOOGL.US,202607201600,352.11,351.845,352.17,351.83,71511,25082650,-0.74,-0.08
INTC.US,202607201600,97.14,97.11,97.15,97.1,68212,6605394,0.13,-0.03
LRCX.US,202607201600,306.93,307.05,307.09,306.93,8823,2707888,-4.33,0.04
META.US,202607201600,645.64,645.86,646.0,645.26,219180,141493045,-2.81,0.03
MSFT.US,202607201600,402.535,402.25,402.6,402.15,103858,41852117,0.29,-0.07
MU.US,202607201600,865.34,865.94,866.0,865.09,22637,19567824,1.49,0.07
NVDA.US,202607201600,203.35,203.35,203.38,203.325,47066,9583193,-1.95,0.0
OKLO.US,202607201600,41.41,41.5,41.52,41.405,145048,6010297,0.95,0.22
PLTR.US,202607201600,135.1,135.065,135.1,135.06,17645,2384516,0.46,-0.03
QCOM.US,202607201600,170.5,170.52,170.53,170.5,3757,639630,-0.05,0.01
SNOW.US,202607201600,274.92,274.34,275.0,274.31,624157,170864780,2.02,-0.21
TSLA.US,202607201600,369.97,369.59,369.98,369.425,520417,192100861,-5.49,-0.1
TSM.US,202607201600,402.4,402.59,402.63,402.395,10169,4099988,-1.75,0.05
