Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2026-07-28T04:00:00.000Z,393.1600036621,400.3200073242,391.299987793,393.3500061035,32367500,0.0,0.0,MSFT,微软,Microsoft Corporation,USD
2026-07-29T04:00:00.000Z,393.3999938965,401.25,388.7399902344,390.5400085449,47209000,0.0,0.0,MSFT,微软,Microsoft Corporation,USD
2026-07-30T04:00:00.000Z,437.8999938965,458.6900024414,432.4400024414,451.1000061035,110160700,0.0,0.0,MSFT,微软,Microsoft Corporation,USD
2026-07-31T04:00:00.000Z,450.0,466.8399963379,449.3299865723,464.7200012207,60748000,0.0,0.0,MSFT,微软,Microsoft Corporation,USD
