ts_code,time,open,close,high,low,vol,amount,pct_change_1m
AVGO.US,202606181600,412.0,412.03,412.035,411.995,4101,1696668,0.01
MU.US,202606181600,1134.98,1133.85,1135.44,1133.85,59823,67916836,-0.1
AMAT.US,202606181600,617.96,618.21,618.27,617.96,8051,4978618,0.04
