Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2026-07-14T04:00:00.000Z,46.9599990845,47.4169998169,45.4399986267,46.2400016785,6568300,0.0,0.0,OKLO,Oklo,Oklo Inc.,USD
2026-07-15T04:00:00.000Z,46.7900009155,47.5200004578,44.1599998474,45.6899986267,6895000,0.0,0.0,OKLO,Oklo,Oklo Inc.,USD
2026-07-16T04:00:00.000Z,44.2999992371,44.3600006104,40.9799995422,41.7000007629,11488100,0.0,0.0,OKLO,Oklo,Oklo Inc.,USD
2026-07-17T04:00:00.000Z,40.4799995422,42.5900001526,39.5299987793,41.1100006104,9186000,0.0,0.0,OKLO,Oklo,Oklo Inc.,USD
