open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
86.62,88.2799,83.1,86.3,154346670,INTC.O,2026-07-28,英特尔,Intel Corporation,USD
86.57,88.47,81.79,81.88,152394563,INTC.O,2026-07-29,英特尔,Intel Corporation,USD
86.51,94.1,85.97,91.13,140322599,INTC.O,2026-07-30,英特尔,Intel Corporation,USD
96.72,97.9,90.13,90.2,109039502,INTC.O,2026-07-31,英特尔,Intel Corporation,USD
327.9,335.88,324.44,333.71,29511940,GOOGL.O,2026-07-28,谷歌A,Alphabet Inc.,USD
334.665,342.5,331.62,336.71,27501632,GOOGL.O,2026-07-29,谷歌A,Alphabet Inc.,USD
334.195,336.51,330.34,333.66,30168000,GOOGL.O,2026-07-30,谷歌A,Alphabet Inc.,USD
340.83,358.58,340.0,356.13,46498023,GOOGL.O,2026-07-31,谷歌A,Alphabet Inc.,USD
393.16,400.32,391.3,393.35,32367546,MSFT.O,2026-07-28,微软,Microsoft Corporation,USD
393.4,401.25,388.74,390.54,47209032,MSFT.O,2026-07-29,微软,Microsoft Corporation,USD
437.9,458.69,432.44,451.1,110160704,MSFT.O,2026-07-30,微软,Microsoft Corporation,USD
450.0,466.84,449.33,464.72,60845971,MSFT.O,2026-07-31,微软,Microsoft Corporation,USD
