ts_code,time,open,close,high,low,vol,amount,pct_change_1m
NVDA.US,202607311600,201.78,201.86,201.88,201.78,70151,14191885,0.04
AMD.US,202607311600,477.71,478.13,478.13,477.71,71631,34283233,0.09
QCOM.US,202607311600,147.815,147.85,147.85,147.815,7755,1147413,0.02
