ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
NVDA.US,202608051600,220.08,220.08,220.1,220.06,71980,15845822,6.5,0.0
AMD.US,202608051600,483.94,484.2,484.2,483.895,11239,5456812,-0.09,0.05
QCOM.US,202608051600,157.93,157.53,158.0,157.15,2319682,364678272,3.93,-0.25
TSM.US,202608051600,415.25,415.31,415.36,415.25,6058,2526318,2.27,0.01
AVGO.US,202608051600,419.86,419.8,419.88,419.63,40411,16948805,7.03,-0.01
MU.US,202608051600,897.42,897.82,897.98,897.265,7096,6415952,8.24,0.04
AMAT.US,202608051600,535.56,535.65,535.72,535.56,5466,2931722,3.37,0.02
LRCX.US,202608051600,309.055,309.04,309.055,308.965,3312,1024954,4.9,0.0
ASML.US,202608051600,1681.17,1681.59,1682.095,1681.005,1698,2847600,2.38,0.02
INTC.US,202608051600,101.57,101.57,101.57,101.535,33443,3388016,11.62,0.0
GOOGL.US,202608051600,362.68,362.67,362.82,362.41,313849,113600117,-2.9,0.0
MSFT.US,202608051600,488.083,487.47,488.14,487.18,840326,408743616,-0.04,-0.13
META.US,202608051600,589.26,589.408,589.42,589.26,5128,3023183,-0.14,0.02
AAPL.US,202608051600,311.42,311.26,311.43,311.255,108370,33801841,2.58,-0.05
PLTR.US,202608051600,158.59,158.51,158.59,158.51,15263,2415717,26.15,-0.06
SNOW.US,202608051600,317.61,316.55,317.69,316.42,133354,42334001,-0.07,-0.36
BABA.US,202608051600,128.72,128.505,128.76,128.49,340933,43947079,0.95,-0.16
TSLA.US,202608051600,321.89,321.46,321.95,321.22,550351,176800351,-0.19,-0.13
CEG.US,202608051600,264.48,265.12,264.7,264.02,1029630,272760272,-0.8,0.24
CCJ.US,202608051600,94.45,94.265,94.5,94.25,222397,21029151,1.26,-0.2
OKLO.US,202608051600,43.125,43.0,43.15,42.95,227049,9791120,4.32,-0.29
