open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
490.92,495.0,467.01,476.46,9891288,AMAT.O,2026-07-28,应用材料,"Applied Materials, Inc.",USD
463.42,475.0,436.33,436.45,10166927,AMAT.O,2026-07-29,应用材料,"Applied Materials, Inc.",USD
482.48,508.54,476.12,501.77,12166310,AMAT.O,2026-07-30,应用材料,"Applied Materials, Inc.",USD
531.69,536.54,502.91,507.67,7411547,AMAT.O,2026-07-31,应用材料,"Applied Materials, Inc.",USD
275.165,277.3,258.53,269.61,16097703,LRCX.O,2026-07-28,拉姆研究,Lam Research Corporation,USD
264.51,273.46,250.5,252.35,16103109,LRCX.O,2026-07-29,拉姆研究,Lam Research Corporation,USD
318.29,319.5,294.25,297.72,22085849,LRCX.O,2026-07-30,拉姆研究,Lam Research Corporation,USD
315.37,318.4,292.93,293.02,12561150,LRCX.O,2026-07-31,拉姆研究,Lam Research Corporation,USD
1580.5,1599.88,1553.58,1582.95,3010051,ASML.O,2026-07-28,阿斯麦,Asml Holding N.V.,USD
1569.39,1621.46,1530.64,1550.69,2545724,ASML.O,2026-07-29,阿斯麦,Asml Holding N.V.,USD
1645.07,1676.78,1626.44,1651.44,2174737,ASML.O,2026-07-30,阿斯麦,Asml Holding N.V.,USD
1683.38,1692.15,1624.71,1629.0,1601445,ASML.O,2026-07-31,阿斯麦,Asml Holding N.V.,USD
