ts_code,time,open,close,high,low,vol,amount,pct_change_1m
QCOM.US,202607311600,147.815,147.85,147.85,147.815,7755,1147413,0.02
AVGO.US,202607311600,390.11,390.09,390.18,390.08,9298,3633553,0.01
TSM.US,202607311600,404.17,404.218,404.28,404.17,14302,5807814,0.01
