ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
NVDA.US,202607131600,204.135,204.03,204.14,204.02,171819,35022137,0.62,-0.05
AMD.US,202607131600,535.835,535.855,535.9,535.82,8585,4601467,-1.99,0.0
QCOM.US,202607131600,183.955,183.94,183.955,183.93,7124,1311141,-3.75,-0.01
TSM.US,202607131600,421.857,421.815,421.86,421.8,3647,1537605,-3.47,-0.01
AVGO.US,202607131600,384.515,384.53,384.535,384.5,7421,2871154,-4.13,0.0
MU.US,202607131600,939.79,940.63,941.33,939.6,53809,50494050,-5.14,0.09
AMAT.US,202607131600,576.03,575.91,576.09,575.91,4860,2798911,-2.17,-0.02
LRCX.US,202607131600,330.41,330.51,330.53,330.39,6950,2298248,-6.42,0.03
ASML.US,202607131600,1727.225,1727.39,1727.41,1727.13,465,802191,-4.26,0.01
INTC.US,202607131600,103.495,103.53,103.53,103.49,58412,6039676,-8.01,0.03
GOOGL.US,202607131600,352.8,352.79,352.8,352.75,16171,5693619,-1.7,0.0
MSFT.US,202607131600,391.55,391.456,391.55,391.43,15140,5928197,1.85,-0.02
META.US,202607131600,657.305,656.73,657.34,656.68,331195,217201815,4.0,-0.09
AAPL.US,202607131600,317.66,317.42,317.66,317.29,660140,209459188,0.38,-0.08
PLTR.US,202607131600,130.02,130.06,130.06,130.02,29351,3825522,0.79,0.03
SNOW.US,202607131600,268.75,268.65,269.0,268.595,435155,116136055,0.43,-0.04
BABA.US,202607131600,112.2,112.35,112.47,112.155,708138,79565445,1.09,0.13
TSLA.US,202607131600,394.6,394.81,394.98,394.54,491289,193954982,-2.89,0.05
CEG.US,202607131600,257.4,257.57,257.58,257.36,480296,123923648,2.72,0.06
CCJ.US,202607131600,90.105,90.2,90.24,90.1,940339,84574034,-6.03,0.1
OKLO.US,202607131600,45.92,45.84,45.96,45.81,263701,12106508,-6.16,-0.17
