Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2026-07-28T04:00:00.000Z,385.0,395.3599853516,381.299987793,392.3099975586,18276300,0.0,0.0,TSM,台积电,Taiwan Semiconductor Manufacturing Company Limited,USD
2026-07-29T04:00:00.000Z,388.0799865723,391.25,372.7200012207,374.6700134277,21700200,0.0,0.0,TSM,台积电,Taiwan Semiconductor Manufacturing Company Limited,USD
2026-07-30T04:00:00.000Z,392.4899902344,406.7699890137,387.6000061035,403.3099975586,17474200,0.0,0.0,TSM,台积电,Taiwan Semiconductor Manufacturing Company Limited,USD
2026-07-31T04:00:00.000Z,419.5,420.3500061035,398.799987793,404.25,11926500,0.0,0.0,TSM,台积电,Taiwan Semiconductor Manufacturing Company Limited,USD
