ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
META.US,202607131600,657.305,656.73,657.34,656.68,331195,217201815,4.0,-0.09
AAPL.US,202607131600,317.66,317.42,317.66,317.29,660140,209459188,0.38,-0.08
PLTR.US,202607131600,130.02,130.06,130.06,130.02,29351,3825522,0.79,0.03
