Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2026-07-14T04:00:00.000Z,189.3300018311,189.9900054932,177.4499969482,178.1000061035,13090400,0.0,0.0,QCOM,高通,Qualcomm Incorporated,USD
2026-07-15T04:00:00.000Z,180.0,180.7100067139,174.7599945068,177.9799957275,9440900,0.0,0.0,QCOM,高通,Qualcomm Incorporated,USD
2026-07-16T04:00:00.000Z,173.0800018311,173.9600067139,168.9900054932,170.6100006104,15951600,0.0,0.0,QCOM,高通,Qualcomm Incorporated,USD
2026-07-17T04:00:00.000Z,166.6399993896,172.3899993896,164.7700042725,171.7799987793,16283200,0.0,0.0,QCOM,高通,Qualcomm Incorporated,USD
