ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
SNOW.US,202607021600,259.61,260.02,260.73,259.57,194182,50477504,-0.45,0.16
BABA.US,202607021600,96.2,96.218,96.265,96.2,34350,3304785,0.25,0.03
TSLA.US,202607021600,394.05,394.08,394.08,394.05,4853,1908545,-6.31,0.01
