ts_code,time,open,close,high,low,vol,amount,pct_change_1m
NVDA.US,202607101600,210.68,210.74,210.75,210.64,149088,31403621,0.03
AMD.US,202607101600,558.39,558.32,558.4,558.23,9258,5158518,-0.01
META.US,202607101600,670.405,670.24,670.405,670.24,12738,8544216,-0.02
