ticker,close,change
NVDA,224.11,2.23
AMD,483.13,0.22
INTC,101.64,0.57
QCOM,167.86,6.56
AVGO,427.99,2.32
TSM,420.01,1.45
MU,880.52,-1.42
AMAT,539.15,0.92
LRCX,311.55,1.34
ASML,1741.54,3.77
GOOGL,354.24,-2.26
MSFT,500.61,2.70
META,592.08,0.56
AAPL,313.30,0.74
PLTR,171.99,8.56
SNOW,330.29,3.86
BABA,128.40,-0.11
TSLA,328.77,2.25
CCJ,97.39,4.03
CEG,269.89,3.37
OKLO,48.42,14.77
